,data_file,sample_notes,AC Samples,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tetrahydroalstonine,Amt_ug_L_Tryptamine,Amt_ug_L_Tryptophan,Unnamed: 10,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tetrahydroalstonine,Amt_uM_Tryptamine,Amt_uM_Tryptophan
97,210330_TMET494_231.xms,96WP989_P2_F5,14_2_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,47.3,N.D.,106176.813,N.A.,,N.D.,N.D.,N.D.,0.089149405,N.D.,662.6938772,N.A.
98,210330_TMET494_232.xms,96WP989_P2_F6,14_3_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,40.005,N.D.,91055.297,N.A.,,N.D.,N.D.,N.D.,0.075400041,N.D.,568.3141743,N.A.
99,210330_TMET494_233.xms,96WP989_P2_F7,15_1_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,N.D.,N.D.,82685.25,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,516.0732118,N.A.
100,210330_TMET494_234.xms,96WP989_P2_F8,15_2_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,769.894,N.D.,163177.563,N.A.,,N.D.,N.D.,N.D.,1.451069604,N.D.,1018.459387,N.A.
101,210330_TMET494_235.xms,96WP989_P2_F9,15_3_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,11.685,N.D.,91509.414,N.A.,,N.D.,N.D.,N.D.,0.022023484,N.D.,571.1485083,N.A.
102,210330_TMET494_236.xms,96WP989_P2_F10,17_1_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,N.D.,N.D.,92601.906,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,577.9672076,N.A.
103,210330_TMET494_237.xms,96WP989_P2_F11,17_2_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,N.D.,N.D.,79827.258,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,498.235289,N.A.
104,210330_TMET494_241.xms,96WP989_P2_G2,17_3_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,N.D.,N.D.,97553.734,N.A.,,N.D.,N.D.,N.D.,N.D.,N.D.,608.8736363,N.A.
105,210330_TMET494_246.xms,96WP989_P2_G7,15_4_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,623.513,N.D.,113480.148,N.A.,,N.D.,N.D.,N.D.,1.175175754,N.D.,708.2770441,N.A.
106,210330_TMET494_247.xms,96WP989_P2_G8,15_5_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,576.808,N.D.,122431.367,N.A.,,N.D.,N.D.,N.D.,1.087147784,N.D.,764.1453439,N.A.
107,210330_TMET494_248.xms,96WP989_P2_G9,15_6_YPD_YPD + 1 mM tryptamine + 0.2 mM geraniol,N.D.,N.D.,N.D.,39.43,N.D.,130421.938,N.A.,,N.D.,N.D.,N.D.,0.074316301,N.D.,814.017838,N.A.
